files,name,labels,reds,ra,dec
sdss_ra=49.6212_dec=41.7373.png,PCC-2365,0,2.2225,49.6212,41.7373
sdss_ra=49.5094_dec=41.5135.png,PCC-1592,0,11.1625,49.5094,41.5135
sdss_ra=49.4709_dec=41.3465.png,PCC-1336,0,0.0125,49.4709,41.3465
sdss_ra=49.9435_dec=41.6033.png,PCC-4967,0,18.6625,49.9435,41.6033
sdss_ra=49.2758_dec=41.5415.png,PCC-0168,0,5.9025,49.2758,41.5415
sdss_ra=49.5811_dec=41.3339.png,PCC-2031,0,0.6825,49.5811,41.3339
sdss_ra=49.3497_dec=41.2962.png,PCC-0619,0,1.265,49.3497,41.2962
sdss_ra=49.7175_dec=41.6788.png,PCC-3159,0,12.7875,49.7175,41.6788
sdss_ra=49.5705_dec=41.4591.png,PCC-1967,0,4.16,49.5705,41.4591
sdss_ra=49.7092_dec=41.7048.png,PCC-3088,0,7.665,49.7092,41.7048
sdss_ra=49.3665_dec=41.2861.png,PCC-0709,0,1.0875,49.3665,41.2861
sdss_ra=49.623_dec=41.7693.png,PCC-2383,0,2.5125,49.623,41.7693
sdss_ra=49.9842_dec=41.2138.png,PCC-5265,0,0.8025,49.9842,41.2138
sdss_ra=49.6684_dec=41.258.png,PCC-2760,0,4.1625,49.6684,41.258
sdss_ra=49.3878_dec=41.5814.png,PCC-0826,0,0.705,49.3878,41.5814
sdss_ra=49.2411_dec=41.4991.png,PCC-0008,0,4.1925,49.2411,41.4991
sdss_ra=49.6164_dec=41.4551.png,PCC-2329,0,1.3825,49.6164,41.4551
sdss_ra=49.3893_dec=41.5721.png,PCC-0837,0,0.4225,49.3893,41.5721
sdss_ra=49.5591_dec=41.5027.png,PCC-1896,0,12.3575,49.5591,41.5027
sdss_ra=49.6482_dec=41.2272.png,PCC-2616,0,7.545,49.6482,41.2272
sdss_ra=49.4111_dec=41.4748.png,PCC-0974,0,1.675,49.4111,41.4748
sdss_ra=49.3757_dec=41.3132.png,PCC-0766,0,12.39,49.3757,41.3132
sdss_ra=49.5082_dec=41.4069.png,PCC-1581,0,2.4,49.5082,41.4069
sdss_ra=49.5319_dec=41.5225.png,PCC-1742,0,2.4475,49.5319,41.5225
sdss_ra=49.6309_dec=41.2656.png,PCC-2462,0,7.75,49.6309,41.2656
sdss_ra=49.322_dec=41.4892.png,PCC-0452,0,1.0075,49.322,41.4892
sdss_ra=49.5539_dec=41.502.png,PCC-1867,0,10.2025,49.5539,41.502
sdss_ra=49.3464_dec=41.4658.png,PCC-0592,0,7.6125,49.3464,41.4658
sdss_ra=49.8286_dec=41.2883.png,PCC-4039,0,0.1675,49.8286,41.2883
sdss_ra=49.3081_dec=41.4699.png,PCC-0365,0,6.7025,49.3081,41.4699
sdss_ra=49.4063_dec=41.4087.png,PCC-0945,0,42.12,49.4063,41.4087
sdss_ra=49.4508_dec=41.5244.png,PCC-1208,0,0.745,49.4508,41.5244
sdss_ra=49.6028_dec=41.5367.png,PCC-2195,0,8.365,49.6028,41.5367
sdss_ra=49.8546_dec=41.2312.png,PCC-4260,0,4.5675,49.8546,41.2312
sdss_ra=49.5236_dec=41.5182.png,PCC-1689,0,1.99,49.5236,41.5182
sdss_ra=49.2744_dec=41.5706.png,PCC-0160,0,1.22,49.2744,41.5706
sdss_ra=49.7118_dec=41.7236.png,PCC-3109,0,1.48,49.7118,41.7236
sdss_ra=49.5063_dec=41.5123.png,PCC-1565,0,6.8275,49.5063,41.5123
sdss_ra=49.5132_dec=41.3783.png,PCC-1617,0,2.0275,49.5132,41.3783
sdss_ra=49.5006_dec=41.3793.png,PCC-1530,0,0.575,49.5006,41.3793
sdss_ra=49.3083_dec=41.5094.png,PCC-0367,0,0.5375,49.3083,41.5094
sdss_ra=49.6769_dec=41.3202.png,PCC-2835,0,5.01,49.6769,41.3202
sdss_ra=50.004_dec=41.341.png,PCC-5423,0,5.62,50.004,41.341
sdss_ra=50.0051_dec=41.6557.png,PCC-5428,0,1.8225,50.0051,41.6557
sdss_ra=49.7029_dec=41.7359.png,PCC-3046,0,3.2875,49.7029,41.7359
sdss_ra=49.4477_dec=41.575.png,PCC-1191,0,1.6075,49.4477,41.575
sdss_ra=49.7314_dec=41.5563.png,PCC-3286,0,17.815,49.7314,41.5563
sdss_ra=49.242_dec=41.4454.png,PCC-0011,0,0.24,49.242,41.4454
sdss_ra=49.7006_dec=41.4398.png,PCC-3028,0,9.215,49.7006,41.4398
sdss_ra=49.8615_dec=41.4943.png,PCC-4319,0,23.2275,49.8615,41.4943
sdss_ra=49.2466_dec=41.4451.png,PCC-0026,0,0.445,49.2466,41.4451
sdss_ra=49.3342_dec=41.33.png,PCC-0525,0,8.02,49.3342,41.33
sdss_ra=49.4158_dec=41.3219.png,PCC-0997,0,3.605,49.4158,41.3219
sdss_ra=49.4978_dec=41.6188.png,PCC-1515,0,3.41,49.4978,41.6188
sdss_ra=49.9985_dec=41.3856.png,PCC-5387,0,3.3975,49.9985,41.3856
sdss_ra=49.5392_dec=41.4577.png,PCC-1782,0,2.515,49.5392,41.4577
sdss_ra=49.36_dec=41.3234.png,PCC-0675,0,0.555,49.36,41.3234
sdss_ra=49.726_dec=41.2954.png,PCC-3234,0,0.0475,49.726,41.2954
sdss_ra=49.4898_dec=41.5315.png,PCC-1467,0,13.855,49.4898,41.5315
sdss_ra=49.4784_dec=41.2846.png,PCC-1388,0,3.62,49.4784,41.2846
sdss_ra=49.8577_dec=41.3264.png,PCC-4286,0,3.9675,49.8577,41.3264
sdss_ra=49.7345_dec=41.6346.png,PCC-3313,0,4.3675,49.7345,41.6346
sdss_ra=49.5144_dec=41.6052.png,PCC-1623,0,17.38,49.5144,41.6052
sdss_ra=49.5756_dec=41.4865.png,PCC-1992,0,2.2225,49.5756,41.4865
sdss_ra=50.0018_dec=41.6806.png,PCC-5408,0,1.8725,50.0018,41.6806
sdss_ra=49.7004_dec=41.5288.png,PCC-3025,0,1.695,49.7004,41.5288
sdss_ra=49.4783_dec=41.5175.png,PCC-1387,0,1.925,49.4783,41.5175
sdss_ra=49.7463_dec=41.6377.png,PCC-3408,0,5.7625,49.7463,41.6377
sdss_ra=49.7208_dec=41.5487.png,PCC-3190,0,42.3225,49.7208,41.5487
sdss_ra=49.5669_dec=41.3688.png,PCC-1940,0,1.5825,49.5669,41.3688
sdss_ra=49.9437_dec=41.3786.png,PCC-4969,0,7.01,49.9437,41.3786
sdss_ra=49.6743_dec=41.3287.png,PCC-2818,0,0.04,49.6743,41.3287
sdss_ra=49.5247_dec=41.4305.png,PCC-1693,0,0.4275,49.5247,41.4305
sdss_ra=49.6199_dec=41.6827.png,PCC-2351,0,12.735,49.6199,41.6827
sdss_ra=49.407_dec=41.3729.png,PCC-0954,0,2.32,49.407,41.3729
sdss_ra=49.6947_dec=41.5876.png,PCC-2971,0,3.555,49.6947,41.5876
sdss_ra=49.2475_dec=41.3259.png,PCC-0027,0,1.7425,49.2475,41.3259
sdss_ra=49.3303_dec=41.5381.png,PCC-0494,0,2.5825,49.3303,41.5381
sdss_ra=49.4511_dec=41.3201.png,PCC-1212,0,0.665,49.4511,41.3201
sdss_ra=49.8625_dec=41.6234.png,PCC-4328,0,4.6825,49.8625,41.6234
sdss_ra=50.0028_dec=41.3384.png,PCC-5417,0,3.2525,50.0028,41.3384
sdss_ra=49.2516_dec=41.3224.png,PCC-0040,1,4.3075,49.2516,41.3224
sdss_ra=49.2835_dec=41.3141.png,PCC-0219,1,3.31,49.2835,41.3141
sdss_ra=49.2874_dec=41.4252.png,PCC-0246,1,3.59,49.2874,41.4252
sdss_ra=49.3008_dec=41.3811.png,PCC-0314,1,11.765,49.3008,41.3811
sdss_ra=49.3048_dec=41.3333.png,PCC-0349,1,12.4125,49.3048,41.3333
sdss_ra=49.3063_dec=41.2975.png,PCC-0358,1,3.5275,49.3063,41.2975
sdss_ra=49.3067_dec=41.4355.png,PCC-0360,1,0.7175,49.3067,41.4355
sdss_ra=49.3237_dec=41.4215.png,PCC-0462,1,7.3625,49.3237,41.4215
sdss_ra=49.3256_dec=41.4929.png,PCC-0469,1,1.3375,49.3256,41.4929
sdss_ra=49.3476_dec=41.47.png,PCC-0602,1,13.6375,49.3476,41.47
sdss_ra=49.3663_dec=41.3535.png,PCC-0708,1,9.7675,49.3663,41.3535
sdss_ra=49.387_dec=41.297.png,PCC-0823,1,1.22,49.387,41.297
sdss_ra=49.4082_dec=41.3954.png,PCC-0958,1,10.75,49.4082,41.3954
sdss_ra=49.4134_dec=41.5176.png,PCC-0985,1,1.3875,49.4134,41.5176
sdss_ra=49.4149_dec=41.5612.png,PCC-0993,1,1.1775,49.4149,41.5612
sdss_ra=49.4273_dec=41.3231.png,PCC-1067,1,12.985,49.4273,41.3231
sdss_ra=49.4284_dec=41.5999.png,PCC-1078,1,8.705,49.4284,41.5999
sdss_ra=49.432_dec=41.3634.png,PCC-1101,1,8.7475,49.432,41.3634
sdss_ra=49.4519_dec=41.4084.png,PCC-1220,1,2.6575,49.4519,41.4084
sdss_ra=49.4615_dec=41.522.png,PCC-1282,1,0.8025,49.4615,41.522
sdss_ra=49.5028_dec=41.2991.png,PCC-1543,1,4.92,49.5028,41.2991
sdss_ra=49.5078_dec=41.5578.png,PCC-1577,1,1.0875,49.5078,41.5578
sdss_ra=49.5126_dec=41.5128.png,PCC-1613,1,8.615,49.5126,41.5128
sdss_ra=49.5154_dec=41.3231.png,PCC-1628,1,9.28,49.5154,41.3231
sdss_ra=49.5184_dec=41.3698.png,PCC-1655,1,5.9375,49.5184,41.3698
sdss_ra=49.5231_dec=41.4355.png,PCC-1684,1,3.385,49.5231,41.4355
sdss_ra=49.5244_dec=41.5814.png,PCC-1691,1,6.1025,49.5244,41.5814
sdss_ra=49.5308_dec=41.5539.png,PCC-1736,1,3.3825,49.5308,41.5539
sdss_ra=49.5486_dec=41.6169.png,PCC-1833,1,7.3675,49.5486,41.6169
sdss_ra=49.5502_dec=41.4233.png,PCC-1842,1,15.6625,49.5502,41.4233
sdss_ra=49.557_dec=41.4616.png,PCC-1884,1,2.215,49.557,41.4616
sdss_ra=49.5667_dec=41.2776.png,PCC-1937,1,9.0875,49.5667,41.2776
sdss_ra=49.568_dec=41.5799.png,PCC-1947,1,1.21,49.568,41.5799
sdss_ra=49.5741_dec=41.5031.png,PCC-1984,1,13.1275,49.5741,41.5031
sdss_ra=49.5791_dec=41.6937.png,PCC-2021,1,2.435,49.5791,41.6937
sdss_ra=49.582_dec=41.2943.png,PCC-2039,1,0.8525,49.582,41.2943
sdss_ra=49.5958_dec=41.2689.png,PCC-2146,1,6.9075,49.5958,41.2689
sdss_ra=49.5992_dec=41.6442.png,PCC-2172,1,29.7875,49.5992,41.6442
sdss_ra=49.6048_dec=41.5212.png,PCC-2214,1,1.2525,49.6048,41.5212
sdss_ra=49.6078_dec=41.5452.png,PCC-2241,1,5.425,49.6078,41.5452
sdss_ra=49.6152_dec=41.3213.png,PCC-2325,1,5.2975,49.6152,41.3213
sdss_ra=49.6169_dec=41.7091.png,PCC-2332,1,20.26,49.6169,41.7091
sdss_ra=49.6181_dec=41.286.png,PCC-2339,1,2.9925,49.6181,41.286
sdss_ra=49.6241_dec=41.3027.png,PCC-2393,1,8.96,49.6241,41.3027
sdss_ra=49.6382_dec=41.2977.png,PCC-2531,1,0.6525,49.6382,41.2977
sdss_ra=49.6396_dec=41.7522.png,PCC-2546,1,9.555,49.6396,41.7522
sdss_ra=49.6431_dec=41.4925.png,PCC-2571,1,3.9975,49.6431,41.4925
sdss_ra=49.6673_dec=41.4173.png,PCC-2754,1,2.19,49.6673,41.4173
sdss_ra=49.6693_dec=41.2867.png,PCC-2772,1,2.3975,49.6693,41.2867
sdss_ra=49.6694_dec=41.6242.png,PCC-2774,1,23.785,49.6694,41.6242
sdss_ra=49.6869_dec=41.6338.png,PCC-2918,1,2.355,49.6869,41.6338
sdss_ra=49.6925_dec=41.4049.png,PCC-2959,1,1.8125,49.6925,41.4049
sdss_ra=49.6929_dec=41.6028.png,PCC-2961,1,4.5675,49.6929,41.6028
sdss_ra=49.6991_dec=41.748.png,PCC-3010,1,6.1725,49.6991,41.748
sdss_ra=49.7077_dec=41.5067.png,PCC-3076,1,12.3,49.7077,41.5067
sdss_ra=49.712_dec=41.6398.png,PCC-3116,1,9.2625,49.712,41.6398
sdss_ra=49.7177_dec=41.2676.png,PCC-3164,1,8.89,49.7177,41.2676
sdss_ra=49.7227_dec=41.3095.png,PCC-3205,1,16.1025,49.7227,41.3095
sdss_ra=49.727_dec=41.2225.png,PCC-3244,1,5.9825,49.727,41.2225
sdss_ra=49.7333_dec=41.5787.png,PCC-3303,1,4.17,49.7333,41.5787
sdss_ra=49.7334_dec=41.6862.png,PCC-3305,1,6.01,49.7334,41.6862
sdss_ra=49.735_dec=41.2599.png,PCC-3316,1,2.2425,49.735,41.2599
sdss_ra=49.7397_dec=41.359.png,PCC-3361,1,6.2725,49.7397,41.359
sdss_ra=49.7405_dec=41.4161.png,PCC-3366,1,33.7925,49.7405,41.4161
sdss_ra=49.7415_dec=41.6351.png,PCC-3379,1,8.6625,49.7415,41.6351
sdss_ra=49.7454_dec=41.3209.png,PCC-3401,1,8.215,49.7454,41.3209
sdss_ra=49.7484_dec=41.4446.png,PCC-3418,1,3.915,49.7484,41.4446
sdss_ra=49.7516_dec=41.484.png,PCC-3444,1,10.1325,49.7516,41.484
sdss_ra=49.7624_dec=41.5043.png,PCC-3529,1,7.785,49.7624,41.5043
sdss_ra=49.7817_dec=41.2523.png,PCC-3661,1,5.35,49.7817,41.2523
sdss_ra=49.7852_dec=41.5811.png,PCC-3687,1,11.5075,49.7852,41.5811
sdss_ra=49.7895_dec=41.7047.png,PCC-3723,1,1.0425,49.7895,41.7047
sdss_ra=49.7926_dec=41.6781.png,PCC-3742,1,8.12,49.7926,41.6781
sdss_ra=49.7935_dec=41.4936.png,PCC-3749,1,15.975,49.7935,41.4936
sdss_ra=49.7995_dec=41.7588.png,PCC-3799,1,1.625,49.7995,41.7588
sdss_ra=49.8124_dec=41.6778.png,PCC-3919,1,1.6575,49.8124,41.6778
sdss_ra=49.8126_dec=41.2313.png,PCC-3921,1,7.695,49.8126,41.2313
sdss_ra=49.8178_dec=41.7537.png,PCC-3963,1,4.4325,49.8178,41.7537
sdss_ra=49.8495_dec=41.6924.png,PCC-4208,1,10.34,49.8495,41.6924
sdss_ra=49.8501_dec=41.5332.png,PCC-4216,1,31.8775,49.8501,41.5332
sdss_ra=49.8585_dec=41.2621.png,PCC-4297,1,2.2225,49.8585,41.2621
sdss_ra=49.8627_dec=41.6082.png,PCC-4330,1,7.4875,49.8627,41.6082
sdss_ra=49.8715_dec=41.7361.png,PCC-4402,1,2.66,49.8715,41.7361
sdss_ra=49.8823_dec=41.5225.png,PCC-4499,1,20.3575,49.8823,41.5225
sdss_ra=49.8902_dec=41.5536.png,PCC-4551,1,9.5975,49.8902,41.5536
sdss_ra=49.8969_dec=41.6179.png,PCC-4608,1,6.21,49.8969,41.6179
sdss_ra=49.9053_dec=41.486.png,PCC-4666,1,11.84,49.9053,41.486
sdss_ra=49.9145_dec=41.2779.png,PCC-4743,1,15.625,49.9145,41.2779
sdss_ra=49.9151_dec=41.5179.png,PCC-4750,1,17.335,49.9151,41.5179
sdss_ra=49.9175_dec=41.3292.png,PCC-4771,1,4.87,49.9175,41.3292
sdss_ra=49.9235_dec=41.4881.png,PCC-4811,1,18.5525,49.9235,41.4881
sdss_ra=49.9248_dec=41.4995.png,PCC-4816,1,30.525,49.9248,41.4995
sdss_ra=49.9317_dec=41.7131.png,PCC-4867,1,9.17,49.9317,41.7131
sdss_ra=49.9326_dec=41.457.png,PCC-4876,1,15.7675,49.9326,41.457
sdss_ra=49.936_dec=41.4465.png,PCC-4900,1,17.76,49.936,41.4465
sdss_ra=49.9449_dec=41.5293.png,PCC-4979,1,14.675,49.9449,41.5293
sdss_ra=49.9453_dec=41.3786.png,PCC-4981,1,9.1025,49.9453,41.3786
sdss_ra=49.9523_dec=41.5579.png,PCC-5047,1,28.535,49.9523,41.5579
sdss_ra=49.9538_dec=41.5834.png,PCC-5063,1,16.9225,49.9538,41.5834
sdss_ra=49.9574_dec=41.3299.png,PCC-5095,1,17.1275,49.9574,41.3299
sdss_ra=49.9575_dec=41.6693.png,PCC-5096,1,1.0675,49.9575,41.6693
sdss_ra=49.9635_dec=41.5354.png,PCC-5136,1,25.4425,49.9635,41.5354
sdss_ra=49.9636_dec=41.3097.png,PCC-5137,1,7.905,49.9636,41.3097
sdss_ra=49.9656_dec=41.3923.png,PCC-5147,1,2.3325,49.9656,41.3923
sdss_ra=49.967_dec=41.2598.png,PCC-5156,1,2.78,49.967,41.2598
sdss_ra=49.9672_dec=41.648.png,PCC-5157,1,2.3475,49.9672,41.648
sdss_ra=49.9686_dec=41.5498.png,PCC-5163,1,9.2,49.9686,41.5498
sdss_ra=49.9705_dec=41.6088.png,PCC-5169,1,6.5925,49.9705,41.6088
sdss_ra=49.9756_dec=41.3089.png,PCC-5196,1,11.9175,49.9756,41.3089
sdss_ra=49.9932_dec=41.5479.png,PCC-5339,1,28.4075,49.9932,41.5479
sdss_ra=49.9947_dec=41.75.png,PCC-5358,1,49.0425,49.9947,41.75
sdss_ra=49.9967_dec=41.3092.png,PCC-5374,1,17.355,49.9967,41.3092
sdss_ra=49.8825_dec=41.7447.png,PCC-4502,1,4.63,49.8825,41.7447
sdss_ra=49.9387_dec=41.2544.png,PCC-4932,1,5.585,49.9387,41.2544
