#Table1
files,name,labels,objID,ra,dec,type,u_g,modelMag_r,g_z,petroRad_r
sdss_ra=49.2565_dec=41.4396.png,PCC-0057,0,1237661083199079481,49.2564832058175,41.4395892035052,GALAXY,1.377638,19.44196,1.350351,3.313377
sdss_ra=49.9985_dec=41.3856.png,PCC-5387,0,1237661055281858002,49.9984859667094,41.3856061598763,GALAXY,2.33016,18.58372,2.217403,5.380006
sdss_ra=49.7624_dec=41.308.png,PCC-3531,0,1237661122388034281,49.7624524404048,41.3079791063088,GALAXY,2.638159,18.29481,1.97917,5.005571
sdss_ra=49.5591_dec=41.5027.png,PCC-1896,0,1237661055281660810,49.5591119542989,41.50269492049,GALAXY,1.647087,18.12185,2.114698,2.813462
sdss_ra=49.4783_dec=41.5175.png,PCC-1387,0,1237661055281660363,49.4782706585721,41.5174558758503,GALAXY,1.979567,20.63538,2.869387,1.392779
sdss_ra=49.7006_dec=41.4398.png,PCC-3028,0,1237661055281726232,49.7006243737533,41.4397674682699,GALAXY,1.609142,17.43616,0.6918068,10.25623
sdss_ra=49.8625_dec=41.6234.png,PCC-4328,0,1237661059574268788,49.8625282439962,41.6234219834059,GALAXY,2.390419,17.78735,1.776218,11.30654
sdss_ra=49.4477_dec=41.575.png,PCC-1191,0,1237661055281661072,49.4476929976336,41.5750018634696,GALAXY,1.179611,19.28125,2.363596,2.867623
sdss_ra=49.2411_dec=41.4991.png,PCC-0008,0,1237661122387838143,49.241064353829,41.4990864301001,GALAXY,2.03817,18.44905,2.095968,3.835984
sdss_ra=49.7521_dec=41.666.png,PCC-3450,0,1237661059574269103,49.752115287248,41.6660343064579,GALAXY,3.077892,18.48388,2.510057,4.815218
sdss_ra=49.4487_dec=41.3384.png,PCC-1198,0,1237661083199145373,49.4486850129999,41.3383619635481,GALAXY,1.254122,18.74508,1.823336,3.30635
sdss_ra=49.8038_dec=41.5811.png,PCC-3849,0,1237661059574269626,49.8037808596763,41.5811293306859,GALAXY,2.39562,18.4143,2.103262,2.348194
sdss_ra=49.3766_dec=41.5364.png,PCC-0774,0,1237661055281661403,49.376592902679,41.5364468490637,GALAXY,1.518801,17.73454,1.270788,5.567394
sdss_ra=49.7705_dec=41.3615.png,PCC-3605,0,1237661122387968977,49.7704513530806,41.3614608748543,GALAXY,2.044001,18.24847,1.997107,2.573941
sdss_ra=49.8839_dec=41.7175.png,PCC-4515,0,1237670458048446775,49.8839020898115,41.7174905840822,GALAXY,2.124285,19.11043,1.930006,2.624102
sdss_ra=49.623_dec=41.7693.png,PCC-2383,0,1237661059574202849,49.6229716532135,41.7692838426921,STAR,1.60638,18.8141,1.170748,0.9699834
sdss_ra=49.7092_dec=41.7048.png,PCC-3088,0,1237661059574203352,49.7092018264066,41.7048143497305,GALAXY,1.626558,18.25375,2.496347,5.873117
sdss_ra=49.3464_dec=41.4658.png,PCC-0592,0,1237661122387837441,49.3464033206927,41.4657424923315,GALAXY,3.836075,18.76995,1.139112,4.656266
sdss_ra=49.3925_dec=41.5647.png,PCC-0870,0,1237661055281661796,49.3924933680465,41.5646964166663,GALAXY,1.545128,19.34463,1.360119,7.358008
sdss_ra=50.0028_dec=41.3384.png,PCC-5417,0,1237661055281857479,50.0027325337613,41.3383687088605,GALAXY,2.246117,18.87916,2.017632,2.361201
sdss_ra=49.5247_dec=41.4305.png,PCC-1693,0,1237661055281727082,49.5246271241854,41.4305177152363,GALAXY,1.156378,19.17819,1.276268,3.038829
sdss_ra=49.6744_dec=41.3395.png,PCC-2819,0,1237661122387969061,49.6744409144411,41.3394635152311,GALAXY,3.156122,17.70543,2.556904,5.794446
sdss_ra=49.4784_dec=41.2846.png,PCC-1388,0,1237661083199144672,49.4783603408726,41.2846440250849,STAR,1.399605,18.19622,0.814724,1.029408
sdss_ra=49.6199_dec=41.6827.png,PCC-2351,0,1237661059574203129,49.6198055819706,41.6826848521742,GALAXY,1.927773,19.011,2.27211,7.359175
sdss_ra=49.3881_dec=41.3949.png,PCC-0828,0,1237661083199144027,49.3880968070861,41.3948394450498,GALAXY,4.289604,24.80204,-2.481848,2.969725
sdss_ra=49.8498_dec=41.6619.png,PCC-4214,0,1237661059574268593,49.8498526825439,41.6619129501498,GALAXY,1.961037,19.84847,1.354614,3.840107
sdss_ra=49.5475_dec=41.5225.png,PCC-1827,0,1237661055281660697,49.5475110283826,41.5225041803076,GALAXY,1.858179,19.03877,2.410738,2.239256
sdss_ra=49.9842_dec=41.2138.png,PCC-5265,0,1237661055281857614,49.9841499439415,41.2138467696075,STAR,2.33799,18.34062,1.376968,1.089149
sdss_ra=49.7118_dec=41.7236.png,PCC-3109,0,1237661059574204815,49.7117955318649,41.7236199072246,GALAXY,0.9824352,19.05034,2.012373,3.903545
sdss_ra=49.5411_dec=41.5389.png,PCC-1795,0,1237661055281661552,49.5411265641304,41.5389351099106,GALAXY,1.635536,17.08435,1.69525,10.59743
sdss_ra=49.7564_dec=41.2183.png,PCC-3477,0,1237661083199276529,49.7563991447117,41.2183479870148,GALAXY,1.578144,19.09422,1.513895,2.74814
sdss_ra=49.4111_dec=41.4748.png,PCC-0974,0,1237661055281661998,49.4110629445986,41.4748146411013,GALAXY,3.481417,19.07925,2.45356,3.318615
sdss_ra=49.9322_dec=41.6483.png,PCC-4872,0,1237661059574333630,49.9321851966567,41.6482816615919,GALAXY,-4.000988,19.20599,6.521801,3.480688
sdss_ra=49.3431_dec=41.5987.png,PCC-0571,0,1237661055281595489,49.3431338946377,41.5986877386009,GALAXY,1.603796,19.1549,2.307459,3.18299
sdss_ra=49.6947_dec=41.5876.png,PCC-2971,0,1237661059574269769,49.6946553361214,41.5876027496029,GALAXY,1.293209,19.5667,1.751541,1.995064
sdss_ra=49.3665_dec=41.2861.png,PCC-0709,0,1237661083199144985,49.3664776873557,41.2861431983158,GALAXY,1.877071,18.3949,2.020618,2.593152
sdss_ra=49.4525_dec=41.5851.png,PCC-1222,0,1237661055281661427,49.4525396601503,41.5851221091196,GALAXY,2.340355,18.69894,2.300087,1.684652
sdss_ra=49.4776_dec=41.384.png,PCC-1378,0,1237661122387902975,49.4777611404324,41.3833231372479,GALAXY,2.810034,18.50161,2.342325,4.792605
sdss_ra=49.3368_dec=41.4033.png,PCC-0538,0,1237661083199079075,49.33992990686,41.4050581657529,GALAXY,1.874121,21.59883,0.9945374,1.225571
sdss_ra=49.5063_dec=41.5123.png,PCC-1565,0,1237661055281660355,49.5062354685874,41.5123497888246,GALAXY,1.387699,19.29245,1.748886,2.591479
sdss_ra=49.3508_dec=41.3929.png,PCC-0626,0,1237661083199079073,49.3507230050711,41.3928173973905,GALAXY,1.494719,20.76255,0.1501503,1.483078
sdss_ra=49.6743_dec=41.3287.png,PCC-2818,0,1237661122387969064,49.6743269906127,41.3286767228176,GALAXY,3.501022,19.03402,2.398468,2.761945
sdss_ra=49.5756_dec=41.4865.png,PCC-1992,0,1237661055281726387,49.575514197229,41.4865655944704,GALAXY,0.9309406,17.51773,0.6735687,6.130694
sdss_ra=49.9366_dec=41.7691.png,PCC-4910,0,1237670458048447673,49.9365754763841,41.7690446693286,STAR,1.262079,18.66884,0.7376442,1.323857
sdss_ra=49.5078_dec=41.4149.png,PCC-1578,0,1237661055281726987,49.5078178295889,41.4148891866892,GALAXY,2.131687,19.25467,2.37862,2.69051
sdss_ra=49.2475_dec=41.3259.png,PCC-0027,0,1237661083199079629,49.2475173645298,41.325886015873,GALAXY,1.558619,17.59249,1.804649,3.375067
sdss_ra=49.5331_dec=41.4152.png,PCC-1749,0,1237661055281726855,49.5330389991413,41.4152367267331,GALAXY,2.1388,17.72598,2.560955,4.096015
sdss_ra=49.36_dec=41.3234.png,PCC-0675,0,1237661083199145514,49.3600256336362,41.3233520267618,GALAXY,1.720154,19.36025,1.592527,2.729219
sdss_ra=49.5392_dec=41.4577.png,PCC-1782,0,1237661055281726833,49.5391469119783,41.4577011981716,GALAXY,2.887321,18.19508,2.50878,5.295591
sdss_ra=49.7345_dec=41.6346.png,PCC-3313,0,1237661059574268296,49.7345627927002,41.6346210834124,GALAXY,1.472054,17.83581,1.365313,3.930212
sdss_ra=49.3757_dec=41.3132.png,PCC-0766,0,1237661083199144307,49.3756882798822,41.3131551961883,GALAXY,1.836525,16.44724,1.359153,9.588817
sdss_ra=49.7463_dec=41.6377.png,PCC-3408,0,1237661059574268297,49.7463378360688,41.6377218212072,GALAXY,2.289989,19.57705,3.012413,2.31664
sdss_ra=49.4266_dec=41.3159.png,PCC-1064,0,1237661083199145950,49.4266341875266,41.3158960664945,GALAXY,2.216972,19.41731,2.613037,2.570463
sdss_ra=49.2669_dec=41.5264.png,PCC-0110,0,1237661055281595474,49.2668733078476,41.5263648618635,GALAXY,2.169088,17.55065,2.114252,4.256517
sdss_ra=49.4898_dec=41.5315.png,PCC-1467,0,1237661055281660365,49.4897901476032,41.5315657902475,STAR,1.093758,21.51929,2.648016,1.015535
sdss_ra=49.5705_dec=41.4591.png,PCC-1967,0,1237661055281725606,49.5705009821743,41.459046242828,GALAXY,1.918211,20.76944,2.446674,1.236866
sdss_ra=49.6028_dec=41.5367.png,PCC-2195,0,1237661055281660877,49.6027522080411,41.5367374698063,GALAXY,3.259443,18.24393,2.572918,5.366109
sdss_ra=49.5511_dec=41.4042.png,PCC-1849,0,1237661055281726871,49.5511297109454,41.4042423566477,GALAXY,1.934937,18.29836,1.980097,2.725607
sdss_ra=49.6184_dec=41.4546.png,PCC-2341,0,1237661055281726881,49.6184376585242,41.4545545050076,GALAXY,1.717859,18.95229,2.589348,2.714802
sdss_ra=49.3855_dec=41.3037.png,PCC-0817,0,1237661083199144313,49.3854255220079,41.3037840839373,GALAXY,1.894552,20.43471,1.539665,2.763734
sdss_ra=49.3497_dec=41.2962.png,PCC-0619,0,1237661083199145340,49.3497052587801,41.2961627522599,GALAXY,1.733004,19.4881,2.500896,1.917019
sdss_ra=49.2758_dec=41.5415.png,PCC-0168,0,1237661055281594918,49.2757658853289,41.541452386982,GALAXY,1.958893,18.20954,1.866634,5.510351
sdss_ra=49.7175_dec=41.6788.png,PCC-3159,0,1237661059574268000,49.7174831497593,41.6787758237841,STAR,2.935995,19.5482,3.388987,0.8277795
sdss_ra=49.347_dec=41.5718.png,PCC-0596,0,1237661055281595532,49.3470451443591,41.5717732378514,GALAXY,2.030399,17.96481,2.089478,4.556923
sdss_ra=49.6309_dec=41.2656.png,PCC-2462,0,1237661083199210520,49.6309849597321,41.2656828080529,GALAXY,1.824398,19.32612,1.650394,2.717729
sdss_ra=49.8286_dec=41.2883.png,PCC-4039,0,1237661122388034726,49.8286218118196,41.2883185540249,GALAXY,1.465488,18.71819,2.016907,3.608814
sdss_ra=49.4063_dec=41.4087.png,PCC-0945,0,1237661122387902713,49.4063063914731,41.4087583887265,GALAXY,3.095861,19.09043,2.373003,3.937987
sdss_ra=49.5877_dec=41.3917.png,PCC-2079,0,1237661055281727022,49.5876855617244,41.3917032223751,GALAXY,1.483286,19.47024,1.445553,3.117248
sdss_ra=49.5669_dec=41.3688.png,PCC-1940,0,1237661055281726898,49.5669356580203,41.3687948947348,GALAXY,1.912535,18.43174,1.923306,2.868319
sdss_ra=49.3893_dec=41.5721.png,PCC-0837,0,1237661055281596077,49.3892567509159,41.5720951555635,GALAXY,0.9744091,19.4436,0.8735046,2.348555
sdss_ra=49.9437_dec=41.3786.png,PCC-4969,0,1237661055281857731,49.9436540725814,41.3785138119629,GALAXY,1.393999,18.94984,0.07774925,3.120096
sdss_ra=49.5319_dec=41.5225.png,PCC-1742,0,1237661055281660352,49.5318682312067,41.5225648610984,GALAXY,1.618532,17.70627,1.768684,4.032264
sdss_ra=49.6876_dec=41.226.png,PCC-2928,0,1237661083199275906,49.6875624830232,41.2260099896836,GALAXY,1.040514,18.01791,0.9463158,4.19055
sdss_ra=49.3329_dec=41.4999.png,PCC-0514,0,1237661055281661671,49.3329082112614,41.49986624604,GALAXY,1.13596,18.67215,1.418512,3.454882
sdss_ra=49.4709_dec=41.3465.png,PCC-1336,0,1237661083199146009,49.4709540722295,41.3465338327935,GALAXY,1.093185,19.2978,1.966539,4.281977
sdss_ra=49.6769_dec=41.3202.png,PCC-2835,0,1237661122387968404,49.6768962382152,41.3202550249105,GALAXY,1.138586,23.41172,0.929184,0.2096673
sdss_ra=49.4815_dec=41.434.png,PCC-1406,0,1237661055281662211,49.4815217405749,41.4340326355382,GALAXY,2.504612,19.52432,2.423527,2.268311
sdss_ra=49.4142_dec=41.3882.png,PCC-0989,0,1237661083199144022,49.4173164597779,41.3897354932553,STAR,0.9296036,21.00918,3.590389,0.9592612
sdss_ra=49.6212_dec=41.7373.png,PCC-2365,0,1237661059574204230,49.6212172149512,41.7372889879785,GALAXY,1.191689,19.04928,1.397314,7.359175
sdss_ra=49.8577_dec=41.3264.png,PCC-4286,0,1237661122388034416,49.8576687707759,41.3264543245452,GALAXY,2.144676,18.7037,2.347164,4.908688
sdss_ra=49.6469_dec=41.4505.png,PCC-2605,0,1237661055281725901,49.6469147464602,41.450467645262,GALAXY,2.752846,19.41575,2.704584,1.338136
sdss_ra=49.3594_dec=41.3355.png,PCC-0670,0,1237661083199144825,49.359348013872,41.3355162432555,GALAXY,1.983553,17.55119,1.814596,2.91886
sdss_ra=49.8832_dec=41.3043.png,PCC-4508,0,1237661055281856551,49.8831911264325,41.3042338061537,GALAXY,1.719509,16.58471,1.819835,6.976413
sdss_ra=49.5885_dec=41.6896.png,PCC-2087,0,1237661059574204597,49.5885192498044,41.6896347861921,GALAXY,1.366329,19.13894,1.683722,4.349349
sdss_ra=49.4854_dec=41.4154.png,PCC-1433,0,1237661055281661666,49.485371436118,41.4154121469832,GALAXY,1.687677,18.88833,2.264864,4.056466
sdss_ra=49.7513_dec=41.2058.png,PCC-3441,0,1237661083199276127,49.7513240178156,41.2058174283021,GALAXY,1.998825,18.5749,1.854799,1.85758
sdss_ra=49.3541_dec=41.4703.png,PCC-0641,0,1237661055281660113,49.3541037979072,41.4703146193494,GALAXY,1.862398,18.69994,1.932531,2.899503
sdss_ra=49.3081_dec=41.4699.png,PCC-0365,0,1237661122387838323,49.308189916606,41.4699178540274,GALAXY,1.331196,18.13682,0.7435169,6.226564
sdss_ra=49.5132_dec=41.3783.png,PCC-1617,0,1237661122387903799,49.513168881278,41.3783097798439,GALAXY,1.423109,19.12683,2.038162,2.729274
sdss_ra=49.5082_dec=41.4069.png,PCC-1581,0,1237661055281727219,49.5081497348617,41.4068642573042,GALAXY,1.617607,19.18396,2.170547,2.971488
sdss_ra=49.9154_dec=41.2302.png,PCC-4755,0,1237661055281857000,49.9154113328278,41.2301728876799,GALAXY,1.110455,19.58429,1.052357,2.190548
sdss_ra=49.6116_dec=41.197.png,PCC-2283,0,1237661083199210860,49.6115739039062,41.1970212377981,GALAXY,1.099449,19.4838,1.053764,2.064733
sdss_ra=49.5144_dec=41.6052.png,PCC-1623,0,1237661055281660277,49.514269872666,41.6052745039883,STAR,3.352455,19.02906,3.430494,0.9914836
sdss_ra=49.322_dec=41.4892.png,PCC-0452,0,1237661055281661399,49.3220001635499,41.4891798255857,GALAXY,1.119034,18.65126,1.503666,2.702657
sdss_ra=49.5811_dec=41.3339.png,PCC-2031,0,1237661122387969192,49.5810512115398,41.3339013720838,GALAXY,3.723814,19.05031,1.912785,2.765185
sdss_ra=49.3303_dec=41.5381.png,PCC-0494,0,1237661055281595548,49.3302491922701,41.5381214191965,GALAXY,1.604383,18.37996,1.364458,5.764447
sdss_ra=49.9814_dec=41.4202.png,PCC-5240,0,1237661059574400501,49.9814135604516,41.4201589478199,GALAXY,2.256126,18.69531,2.309149,1.785305
sdss_ra=49.5006_dec=41.3793.png,PCC-1530,0,1237661122387903465,49.5006249474087,41.379321938645,GALAXY,2.066359,18.21156,1.942371,2.837558
sdss_ra=50.0051_dec=41.6557.png,PCC-5428,0,1237661055818663589,50.0050437417868,41.65570964065,GALAXY,1.867859,17.75774,1.996674,5.495605
sdss_ra=49.2516_dec=41.3224.png,PCC-0040,1,1237661083199079144,49.2512998665366,41.3224446892217,GALAXY,1.072577,19.89751,1.629339,2.969574
sdss_ra=49.2835_dec=41.3141.png,PCC-0219,1,1237661083199080461,49.283487410044,41.3140801197071,GALAXY,1.495792,19.02796,1.535952,6.487737
sdss_ra=49.2874_dec=41.4252.png,PCC-0246,1,1237661083199079544,49.2873677777939,41.4251866808067,GALAXY,1.648746,18.88248,1.365461,6.386487
sdss_ra=49.3008_dec=41.3811.png,PCC-0314,1,1237661083199079044,49.3008178765353,41.3811309686393,GALAXY,1.979811,17.19889,1.777552,4.434128
sdss_ra=49.3048_dec=41.3333.png,PCC-0349,1,1237661083199079244,49.3047948951003,41.3333461324292,GALAXY,1.915014,16.79855,1.519541,9.303005
sdss_ra=49.3063_dec=41.2975.png,PCC-0358,1,1237661083199144143,49.3059792623185,41.2975007847977,GALAXY,1.392225,21.54359,1.32818,1.03817
sdss_ra=49.3067_dec=41.4355.png,PCC-0360,1,1237661083199078963,49.3067191820093,41.4355052201931,GALAXY,1.899044,14.84952,1.712949,9.490194
sdss_ra=49.3237_dec=41.4215.png,PCC-0462,1,1237661083199079603,49.3236841359998,41.4214466740835,GALAXY,1.90966,15.46424,1.748759,9.336884
sdss_ra=49.3256_dec=41.4929.png,PCC-0469,1,1237661055281659921,49.3255866473826,41.4929009463042,GALAXY,1.662981,18.41572,1.565184,6.016972
sdss_ra=49.3476_dec=41.47.png,PCC-0602,1,1237661122387837434,49.3476367817636,41.4700217158527,GALAXY,1.977072,17.45461,1.494795,6.135158
sdss_ra=49.3663_dec=41.3535.png,PCC-0708,1,1237661083199145715,49.3662785364664,41.3534693634682,GALAXY,1.450548,19.37865,1.430326,7.358596
sdss_ra=49.387_dec=41.297.png,PCC-0823,1,1237661083199144302,49.3869972146589,41.296989045752,GALAXY,1.99568,14.76266,1.744754,10.14158
sdss_ra=49.4082_dec=41.3954.png,PCC-0958,1,1237661083199144015,49.4066631957501,41.3942287016579,STAR,-0.5288734,24.80151,6.705832,2.969725
sdss_ra=49.4134_dec=41.5176.png,PCC-0985,1,1237661055281662743,49.4104853605146,41.5182647438377,GALAXY,1.458317,20.85366,2.241245,2.969488
sdss_ra=49.4149_dec=41.5612.png,PCC-0993,1,1237661055281661843,49.4148546953668,41.561150981206,GALAXY,1.231678,19.06888,1.599281,6.252038
sdss_ra=49.4273_dec=41.3231.png,PCC-1067,1,1237661083199144423,49.4273106345572,41.3231237681011,GALAXY,2.650261,17.73236,1.320105,11.06858
sdss_ra=49.4284_dec=41.5999.png,PCC-1078,1,1237661055281661782,49.4284218432391,41.5998779610828,GALAXY,1.870342,17.32182,1.601402,11.40169
sdss_ra=49.432_dec=41.3634.png,PCC-1101,1,1237661083199145830,49.4316981732861,41.3631918525889,GALAXY,1.596251,21.16241,0.1719437,3.635142
sdss_ra=49.4519_dec=41.4084.png,PCC-1220,1,1237661122387903824,49.4517635999405,41.4083189109755,GALAXY,1.134291,19.45683,1.533762,11.30644
sdss_ra=49.4615_dec=41.522.png,PCC-1282,1,1237661055281662019,49.4615210525463,41.5220093296147,GALAXY,1.788113,19.21583,1.71624,4.859988
sdss_ra=49.5028_dec=41.2991.png,PCC-1543,1,1237661083199144680,49.5028172944523,41.2990947963276,GALAXY,1.815702,16.05032,1.647505,7.688799
sdss_ra=49.5078_dec=41.5578.png,PCC-1577,1,1237661055281661504,49.50778075705,41.5577737369803,GALAXY,1.625053,20.4072,1.513237,2.463989
sdss_ra=49.5126_dec=41.5128.png,PCC-1613,1,1237661055281660366,49.5125725288046,41.5127651899085,GALAXY,1.45319,20.52712,1.437424,1.257279
sdss_ra=49.5154_dec=41.3231.png,PCC-1628,1,1237661083199144664,49.5154139273366,41.3230599188577,GALAXY,2.152695,16.70314,1.878805,4.110968
sdss_ra=49.5184_dec=41.3698.png,PCC-1655,1,1237661122387903518,49.5183697511162,41.3697430176767,GALAXY,1.658012,16.87384,1.638861,10.23682
sdss_ra=49.5231_dec=41.4355.png,PCC-1684,1,1237661055281726374,49.5231929662629,41.4354812532149,GALAXY,1.129246,19.06034,1.5077,6.111115
sdss_ra=49.5244_dec=41.5814.png,PCC-1691,1,1237661055281661215,49.5244020175459,41.5813582968019,GALAXY,2.016371,16.32676,1.76267,10.10991
sdss_ra=49.5308_dec=41.5539.png,PCC-1736,1,1237661055281661267,49.5306570322222,41.5538974510229,GALAXY,1.351978,20.88006,1.113539,1.534005
sdss_ra=49.5486_dec=41.6169.png,PCC-1833,1,1237661055281660431,49.5486037358835,41.6168429144839,GALAXY,2.00297,18.38352,1.539364,5.749384
sdss_ra=49.5502_dec=41.4233.png,PCC-1842,1,1237661055281726863,49.5501794590082,41.4233420002467,GALAXY,1.867548,17.63637,1.56221,6.34305
sdss_ra=49.557_dec=41.4616.png,PCC-1884,1,1237661055281725545,49.5570253856624,41.4615890520314,GALAXY,2.776468,20.47499,1.627743,1.694162
sdss_ra=49.5667_dec=41.2776.png,PCC-1937,1,1237661083199209709,49.5667122525265,41.2775209694268,GALAXY,1.6362,18.45231,1.588932,18.01882
sdss_ra=49.568_dec=41.5799.png,PCC-1947,1,1237661055281660539,49.5678204673379,41.5799326405555,GALAXY,0.6016788,21.50932,1.441107,1.475787
sdss_ra=49.5741_dec=41.5031.png,PCC-1984,1,1237661055281725477,49.5741266370053,41.503106046199,GALAXY,1.839634,17.02637,1.672237,9.353975
sdss_ra=49.5791_dec=41.6937.png,PCC-2021,1,1237661059574204563,49.5790523097195,41.6935962781932,GALAXY,4.4687,19.97139,0.6857929,4.725278
sdss_ra=49.582_dec=41.2943.png,PCC-2039,1,1237661083199211225,49.5820192387744,41.2942754398326,GALAXY,2.178457,19.35369,1.877493,6.64329
sdss_ra=49.5958_dec=41.2689.png,PCC-2146,1,1237661083199209781,49.5957549984616,41.2688988395178,GALAXY,2.043249,15.38928,1.738431,12.78765
sdss_ra=49.5992_dec=41.6442.png,PCC-2172,1,1237661059574203163,49.5991356561728,41.6442292448913,GALAXY,2.011759,17.16156,1.690905,6.985229
sdss_ra=49.6048_dec=41.5212.png,PCC-2214,1,1237661055281727193,49.6047846556372,41.5211782817442,GALAXY,2.468927,18.81112,1.597589,5.91063
sdss_ra=49.6078_dec=41.5452.png,PCC-2241,1,1237661055281662281,49.6077697651511,41.5452771087227,GALAXY,1.711477,19.56975,1.59166,6.714672
sdss_ra=49.6152_dec=41.3213.png,PCC-2325,1,1237661122387968730,49.6152258885157,41.3213174238366,GALAXY,1.95513,16.6175,1.776405,6.027709
sdss_ra=49.6169_dec=41.7091.png,PCC-2332,1,1237661059574203026,49.6168532946292,41.7091116790088,GALAXY,3.7596,19.19407,1.886065,1.811826
sdss_ra=49.6181_dec=41.286.png,PCC-2339,1,1237661083199209883,49.6180139196267,41.2859445845986,GALAXY,3.259039,18.64474,1.519157,9.844487
sdss_ra=49.6241_dec=41.3027.png,PCC-2393,1,1237661122387968365,49.6241449104646,41.3026729212866,GALAXY,1.207663,21.25951,0.9792824,2.175494
sdss_ra=49.6382_dec=41.2977.png,PCC-2531,1,1237661122387969275,49.6382972499663,41.2976970974567,GALAXY,1.354212,18.71243,1.232567,7.114778
sdss_ra=49.6396_dec=41.7522.png,PCC-2546,1,1237661059574204583,49.639573521801,41.7521735266186,GALAXY,2.005714,18.369,1.489292,8.490146
sdss_ra=49.6431_dec=41.4925.png,PCC-2571,1,1237661055281726517,49.6429953996031,41.4925854850353,GALAXY,2.25651,18.04581,0.7855282,2.969857
sdss_ra=49.6673_dec=41.4173.png,PCC-2754,1,1237661055281726151,49.6672674086103,41.4173276759573,GALAXY,1.964485,18.28685,1.541523,6.576177
sdss_ra=49.6693_dec=41.2867.png,PCC-2772,1,1237661122387969336,49.6693128398208,41.2867238751049,GALAXY,1.705036,18.56588,1.365532,6.463022
sdss_ra=49.6694_dec=41.6242.png,PCC-2774,1,1237661059574268125,49.6693806363888,41.6242963115361,GALAXY,2.264778,19.93211,1.078224,3.098767
sdss_ra=49.6869_dec=41.6338.png,PCC-2918,1,1237661059574269925,49.6869535877601,41.6338296886737,GALAXY,1.741289,18.28841,1.574745,5.899782
sdss_ra=49.6925_dec=41.4049.png,PCC-2959,1,1237661055281726935,49.6925197754117,41.4049068024513,GALAXY,1.687134,18.0261,1.54285,9.236158
sdss_ra=49.6929_dec=41.6028.png,PCC-2961,1,1237661059574268241,49.6928779643566,41.602876029848,GALAXY,1.12981,20.61333,1.64666,18.01974
sdss_ra=49.6991_dec=41.748.png,PCC-3010,1,1237661059574203755,49.6991149984011,41.74790585261,GALAXY,2.090137,17.62265,1.609179,8.353142
sdss_ra=49.7077_dec=41.5067.png,PCC-3076,1,1237661055281726564,49.7076635211732,41.5066372950096,GALAXY,2.077662,16.75766,1.645988,8.997107
sdss_ra=49.712_dec=41.6398.png,PCC-3116,1,1237661059574268182,49.7120406913765,41.6398115805485,GALAXY,1.975563,17.25065,1.667816,6.680282
sdss_ra=49.7177_dec=41.2676.png,PCC-3164,1,1237661122388034216,49.7177473516028,41.2675578337069,GALAXY,0.2259464,17.35186,1.454119,13.38139
sdss_ra=49.7227_dec=41.3095.png,PCC-3205,1,1237661122387969384,49.7227292680284,41.309428215373,GALAXY,5.009499,19.57966,1.06978,7.637955
sdss_ra=49.727_dec=41.2225.png,PCC-3244,1,1237661083199276043,49.7268696113057,41.2224565446657,GALAXY,7.701906,18.27106,0.3508587,43.76662
