#Table1
files,name,labels,reds,objID,type,ra,dec,modelMag_r,u_g,g_z,g_r,g_i,r_i,r_z,petroRad_r
sdss_ra=49.5669_dec=41.3688.png,PCC-1940,0,1.5825,1237661055281726898,GALAXY,49.5669356580203,41.3687948947348,18.43174,1.912535,1.923306,1.131836,1.59425,0.4624138,0.7914696,2.868319
sdss_ra=49.9435_dec=41.6033.png,PCC-4967,0,18.6625,1237661059574334552,STAR,49.9368872647092,41.6072846777501,22.50776,1.245886,2.792381,1.042364,2.155581,1.113216,1.750017,0.9926243
sdss_ra=49.5132_dec=41.3783.png,PCC-1617,0,2.0275,1237661122387903799,GALAXY,49.513168881278,41.3783097798439,19.12683,1.423109,2.038162,1.110929,1.696451,0.5855217,0.9272327,2.729274
sdss_ra=49.3757_dec=41.3132.png,PCC-0766,0,12.39,1237661083199144307,GALAXY,49.3756882798822,41.3131551961883,16.44724,1.836525,1.359153,0.8011246,1.150288,0.3491631,0.5580282,9.588817
sdss_ra=49.7875_dec=41.5292.png,PCC-3700,0,11.1775,1237661059574269662,GALAXY,49.7874764395205,41.5292286819327,19.28735,2.378429,2.046179,1.155357,1.713688,0.5583305,0.8908215,2.360449
sdss_ra=49.4709_dec=41.3465.png,PCC-1336,0,0.0125,1237661083199146009,GALAXY,49.4709540722295,41.3465338327935,19.2978,1.093185,1.966539,1.068123,1.569885,0.5017624,0.8984165,4.281977
sdss_ra=49.5063_dec=41.5123.png,PCC-1565,0,6.8275,1237661055281660355,GALAXY,49.5062354685874,41.5123497888246,19.29245,1.387699,1.748886,0.9465752,1.390194,0.4436188,0.8023109,2.591479
sdss_ra=49.5236_dec=41.5182.png,PCC-1689,0,1.99,1237661055281660354,GALAXY,49.5235184197161,41.5182228769557,18.18948,1.437931,1.546644,0.7836628,1.252424,0.4687614,0.7629814,3.301259
sdss_ra=49.5475_dec=41.5225.png,PCC-1827,0,10.325,1237661055281660697,GALAXY,49.5475110283826,41.5225041803076,19.03877,1.858179,2.410738,1.334682,1.89757,0.5628872,1.076056,2.239256
sdss_ra=49.407_dec=41.3729.png,PCC-0954,0,2.32,1237661083199144013,GALAXY,49.4070053187422,41.3728592862594,18.02692,2.818373,2.251625,1.438641,1.686352,0.2477112,0.8129845,4.021092
sdss_ra=49.726_dec=41.2954.png,PCC-3234,0,0.0475,1237661122388034859,GALAXY,49.7259355774926,41.2954127299369,19.48101,1.258745,1.227507,0.6550999,0.8633614,0.2082615,0.5724068,4.950427
sdss_ra=49.2744_dec=41.5706.png,PCC-0160,0,1.22,1237661055281595776,GALAXY,49.2744136639967,41.5706272026805,19.29786,4.13319,2.419987,1.412636,1.99427,0.5816345,1.007351,2.449012
sdss_ra=49.4776_dec=41.384.png,PCC-1378,0,6.325,1237661122387902975,GALAXY,49.4777611404324,41.3833231372479,18.50161,2.810034,2.342325,1.347633,1.967499,0.6198654,0.9946918,4.792605
sdss_ra=49.8615_dec=41.4943.png,PCC-4319,0,23.2275,1237661059574334260,STAR,49.8919274490923,41.5162047331679,25.09422,-3.03199,3.003561,0.2123737,0.5338497,0.321476,2.791187,0.2512733
sdss_ra=49.8038_dec=41.5811.png,PCC-3849,0,2.1175,1237661059574269626,GALAXY,49.8037808596763,41.5811293306859,18.4143,2.39562,2.103262,1.161299,1.648123,0.486824,0.9419632,2.348194
sdss_ra=49.5756_dec=41.4865.png,PCC-1992,0,2.2225,1237661055281726387,GALAXY,49.575514197229,41.4865655944704,17.51773,0.9309406,0.6735687,0.346611,0.552084,0.2054729,0.3269577,6.130694
sdss_ra=49.8625_dec=41.6234.png,PCC-4328,0,4.6825,1237661059574268788,GALAXY,49.8625282439962,41.6234219834059,17.78735,2.390419,1.776218,0.883852,1.337841,0.453989,0.8923664,11.30654
sdss_ra=49.9322_dec=41.6483.png,PCC-4872,0,7.68,1237661059574333630,GALAXY,49.9321851966567,41.6482816615919,19.20599,-4.000988,6.521801,5.943012,6.386049,0.443037,0.5787888,3.480688
sdss_ra=49.5907_dec=41.6753.png,PCC-2113,0,8.5275,1237661059574202930,GALAXY,49.5907237806464,41.6753043131353,19.52824,2.003326,1.967318,1.063726,1.595032,0.5313053,0.9035912,1.203707
sdss_ra=49.3464_dec=41.4658.png,PCC-0592,0,7.6125,1237661122387837441,GALAXY,49.3464033206927,41.4657424923315,18.76995,3.836075,1.139112,0.6538696,1.100502,0.4466324,0.4852428,4.656266
sdss_ra=49.5511_dec=41.4042.png,PCC-1849,0,0.89,1237661055281726871,GALAXY,49.5511297109454,41.4042423566477,18.29836,1.934937,1.980097,1.042923,1.581417,0.5384941,0.9371738,2.725607
sdss_ra=49.4854_dec=41.4154.png,PCC-1433,0,3.59,1237661055281661666,GALAXY,49.485371436118,41.4154121469832,18.88833,1.687677,2.264864,1.280811,1.881798,0.6009865,0.9840527,4.056466
sdss_ra=49.7208_dec=41.5487.png,PCC-3190,0,42.3225,1237661059574268417,GALAXY,49.7208706905827,41.5487594778721,17.2,5.01543,-2.64452,0.9532852,1.554352,0.6010666,-3.597805,10.22438
sdss_ra=49.6822_dec=41.2678.png,PCC-2878,0,2.2375,1237661083199210862,GALAXY,49.6822104524686,41.2677772173562,19.53134,1.057112,1.320898,0.7509613,1.081348,0.3303871,0.5699368,1.833131
sdss_ra=49.4511_dec=41.3201.png,PCC-1212,0,0.665,1237661083199146017,GALAXY,49.4510177499872,41.3201161214212,19.29746,1.34894,1.336483,0.6728878,1.029243,0.3563557,0.6635952,4.807751
sdss_ra=49.322_dec=41.4892.png,PCC-0452,0,1.0075,1237661055281661399,GALAXY,49.3220001635499,41.4891798255857,18.65126,1.119034,1.503666,0.7779293,1.27861,0.5006809,0.7257366,2.702657
sdss_ra=49.347_dec=41.5718.png,PCC-0596,0,3.0675,1237661055281595532,GALAXY,49.3470451443591,41.5717732378514,17.96481,2.030399,2.089478,1.108027,1.702267,0.5942402,0.981451,4.556923
sdss_ra=49.4266_dec=41.3159.png,PCC-1064,0,1.8225,1237661083199145950,GALAXY,49.4266341875266,41.3158960664945,19.41731,2.216972,2.613037,1.564829,2.160494,0.595665,1.048208,2.570463
sdss_ra=49.7006_dec=41.4398.png,PCC-3028,0,9.215,1237661055281726232,GALAXY,49.7006243737533,41.4397674682699,17.43616,1.609142,0.6918068,0.5181656,0.7635517,0.2453861,0.1736412,10.25623
sdss_ra=49.5144_dec=41.6052.png,PCC-1623,0,17.38,1237661055281660277,STAR,49.514269872666,41.6052745039883,19.02906,3.352455,3.430494,1.464094,2.757627,1.293533,1.9664,0.9914836
sdss_ra=49.3083_dec=41.5094.png,PCC-0367,0,0.5375,1237661055281596063,GALAXY,49.308334403057,41.5094618855484,18.41583,1.265041,1.477068,0.7762833,1.18924,0.4129562,0.7007847,3.663182
sdss_ra=49.7463_dec=41.6377.png,PCC-3408,0,5.7625,1237661059574268297,GALAXY,49.7463378360688,41.6377218212072,19.57705,2.289989,3.012413,1.956308,2.577394,0.6210861,1.056105,2.31664
sdss_ra=49.5247_dec=41.4305.png,PCC-1693,0,0.4275,1237661055281727082,GALAXY,49.5246271241854,41.4305177152363,19.17819,1.156378,1.276268,0.722374,1.119734,0.3973598,0.553894,3.038829
sdss_ra=50.0018_dec=41.6806.png,PCC-5408,0,1.8725,1237661055818662907,STAR,50.0018078839059,41.6805607240479,18.41516,1.325253,0.9451618,0.5894432,0.8129005,0.2234573,0.3557186,0.9528065
sdss_ra=49.7513_dec=41.2058.png,PCC-3441,0,26.625,1237661083199276127,GALAXY,49.7513240178156,41.2058174283021,18.5749,1.998825,1.854799,0.9731255,1.516567,0.5434418,0.8816738,1.85758
sdss_ra=49.5006_dec=41.3793.png,PCC-1530,0,0.575,1237661122387903465,GALAXY,49.5006249474087,41.379321938645,18.21156,2.066359,1.942371,1.078316,1.574192,0.4958763,0.8640556,2.837558
sdss_ra=49.3368_dec=41.4033.png,PCC-0538,0,13.4775,1237661083199079075,GALAXY,49.33992990686,41.4050581657529,21.59883,1.874121,0.9945374,1.039225,1.564754,0.5255299,-0.04468727,1.225571
sdss_ra=49.2392_dec=41.4215.png,PCC-0007,0,5.325,1237661083199079762,GALAXY,49.2391334115893,41.4214881737168,19.28145,2.089037,1.954086,1.145954,1.618382,0.4724274,0.8081322,2.456815
sdss_ra=49.6283_dec=41.2297.png,PCC-2441,0,13.07,1237661083199210085,GALAXY,49.6282984725789,41.2297381161989,16.77809,2.810484,2.274058,1.257788,1.834318,0.5765305,1.016271,9.235088
sdss_ra=49.5319_dec=41.5225.png,PCC-1742,0,2.4475,1237661055281660352,GALAXY,49.5318682312067,41.5225648610984,17.70627,1.618532,1.768684,0.9390621,1.463348,0.5242863,0.8296223,4.032264
sdss_ra=49.6684_dec=41.258.png,PCC-2760,0,4.1625,1237661083199210106,GALAXY,49.6683660022768,41.2580136966808,19.2536,1.359491,1.861771,1.08403,1.891497,0.8074665,0.7777405,2.910207
sdss_ra=49.4142_dec=41.3882.png,PCC-0989,0,1.6325,1237661083199144022,STAR,49.4173164597779,41.3897354932553,21.00918,0.9296036,3.590389,2.148165,2.811611,0.6634464,1.442225,0.9592612
sdss_ra=49.3541_dec=41.4703.png,PCC-0641,0,10.3425,1237661055281660113,GALAXY,49.3541037979072,41.4703146193494,18.69994,1.862398,1.932531,1.06189,1.645077,0.5831871,0.8706417,2.899503
sdss_ra=49.7545_dec=41.3027.png,PCC-3462,0,10.5675,1237661122388033648,GALAXY,49.7545019001842,41.3027402903354,19.19832,1.401993,1.426046,0.7333641,1.208174,0.4748096,0.6926823,2.44522
sdss_ra=49.7029_dec=41.7359.png,PCC-3046,0,3.2875,1237661059574203833,GALAXY,49.7029025682171,41.7358997385276,19.18205,2.072138,2.27445,1.360561,1.854372,0.4938107,0.9138889,1.426633
sdss_ra=49.2466_dec=41.4451.png,PCC-0026,0,0.445,1237661083199079451,GALAXY,49.2465325839753,41.4451174180218,19.49691,1.109688,2.378984,1.318373,1.94486,0.6264877,1.060612,3.037775
sdss_ra=49.7705_dec=41.3615.png,PCC-3605,0,7.835,1237661122387968977,GALAXY,49.7704513530806,41.3614608748543,18.24847,2.044001,1.997107,1.112215,1.618685,0.5064697,0.8848915,2.573941
sdss_ra=49.36_dec=41.3234.png,PCC-0675,0,0.555,1237661083199145514,GALAXY,49.3600256336362,41.3233520267618,19.36025,1.720154,1.592527,0.8730278,1.310253,0.4372253,0.7194996,2.729219
sdss_ra=49.3855_dec=41.3037.png,PCC-0817,0,10.1125,1237661083199144313,GALAXY,49.3854255220079,41.3037840839373,20.43471,1.894552,1.539665,0.5234776,1.23674,0.7132626,1.016188,2.763734
sdss_ra=49.4111_dec=41.4748.png,PCC-0974,0,1.675,1237661055281661998,GALAXY,49.4110629445986,41.4748146411013,19.07925,3.481417,2.45356,1.469416,2.030313,0.5608978,0.9841442,3.318615
sdss_ra=49.6469_dec=41.4505.png,PCC-2605,0,3.2575,1237661055281725901,GALAXY,49.6469147464602,41.450467645262,19.41575,2.752846,2.704584,1.761635,2.407093,0.6454582,0.9429493,1.338136
sdss_ra=50.0051_dec=41.6557.png,PCC-5428,0,1.8225,1237661055818663589,GALAXY,50.0050437417868,41.65570964065,17.75774,1.867859,1.996674,1.106096,1.625664,0.5195675,0.8905773,5.495605
sdss_ra=49.9564_dec=41.3138.png,PCC-5087,0,31.96,1237661055281858011,GALAXY,49.9563931434652,41.3138262763393,20.17738,1.063026,1.449718,0.5254669,1.044588,0.5191212,0.9242516,1.872197
sdss_ra=49.3766_dec=41.5364.png,PCC-0774,0,0.0975,1237661055281661403,GALAXY,49.376592902679,41.5364468490637,17.73454,1.518801,1.270788,0.6783886,1.094433,0.4160442,0.5923996,5.567394
sdss_ra=49.6212_dec=41.7373.png,PCC-2365,0,2.2225,1237661059574204230,GALAXY,49.6212172149512,41.7372889879785,19.04928,1.191689,1.397314,0.6811466,1.084951,0.4038048,0.7161674,7.359175
sdss_ra=49.2411_dec=41.4991.png,PCC-0008,0,4.1925,1237661122387838143,GALAXY,49.241064353829,41.4990864301001,18.44905,2.03817,2.095968,1.203882,1.707142,0.5032597,0.892086,3.835984
sdss_ra=49.5705_dec=41.4591.png,PCC-1967,0,4.16,1237661055281725606,GALAXY,49.5705009821743,41.459046242828,20.76944,1.918211,2.446674,1.409834,2.185797,0.7759628,1.03684,1.236866
sdss_ra=49.3342_dec=41.33.png,PCC-0525,0,8.02,1237661083199144802,GALAXY,49.3341940619202,41.330028965925,16.71757,1.844263,1.738333,0.9127541,1.363832,0.4510784,0.8255787,7.393939
sdss_ra=49.2565_dec=41.4396.png,PCC-0057,0,3.51,1237661083199079481,GALAXY,49.2564832058175,41.4395892035052,19.44196,1.377638,1.350351,0.8223591,1.18535,0.3629913,0.5279922,3.313377
sdss_ra=49.4815_dec=41.434.png,PCC-1406,0,0.8525,1237661055281662211,GALAXY,49.4815217405749,41.4340326355382,19.52432,2.504612,2.423527,1.477386,2.063356,0.5859699,0.9461403,2.268311
sdss_ra=49.3925_dec=41.5647.png,PCC-0870,0,1.265,1237661055281661796,GALAXY,49.3924933680465,41.5646964166663,19.34463,1.545128,1.360119,0.8376503,1.277571,0.4399204,0.5224686,7.358008
sdss_ra=49.3594_dec=41.3355.png,PCC-0670,0,0.485,1237661083199144825,GALAXY,49.359348013872,41.3355162432555,17.55119,1.983553,1.814596,0.9707489,1.43388,0.463131,0.8438473,2.91886
sdss_ra=49.8832_dec=41.3043.png,PCC-4508,0,9.5525,1237661055281856551,GALAXY,49.8831911264325,41.3042338061537,16.58471,1.719509,1.819835,0.9899998,1.478827,0.4888268,0.8298349,6.976413
sdss_ra=49.5392_dec=41.4577.png,PCC-1782,0,2.515,1237661055281726833,GALAXY,49.5391469119783,41.4577011981716,18.19508,2.887321,2.50878,1.514282,2.115633,0.6013508,0.9944973,5.295591
sdss_ra=49.6876_dec=41.226.png,PCC-2928,0,4.625,1237661083199275906,GALAXY,49.6875624830232,41.2260099896836,18.01791,1.040514,0.9463158,0.4097385,0.7613773,0.3516388,0.5365772,4.19055
sdss_ra=49.4508_dec=41.5244.png,PCC-1208,0,0.745,1237661055281661473,GALAXY,49.4507796093674,41.5244185292264,18.05545,1.893843,2.355289,1.288328,1.924288,0.6359596,1.066961,5.027214
sdss_ra=49.7175_dec=41.6788.png,PCC-3159,0,12.7875,1237661059574268000,STAR,49.7174831497593,41.6787758237841,19.5482,2.935995,3.388987,1.670504,2.836283,1.165779,1.718483,0.8277795
sdss_ra=49.7521_dec=41.666.png,PCC-3450,0,1.74,1237661059574269103,GALAXY,49.752115287248,41.6660343064579,18.48388,3.077892,2.510057,1.419264,2.011757,0.5924931,1.090794,4.815218
sdss_ra=49.7564_dec=41.2183.png,PCC-3477,0,6.9975,1237661083199276529,GALAXY,49.7563991447117,41.2183479870148,19.09422,1.578144,1.513895,0.7524452,1.227468,0.4750233,0.7614498,2.74814
sdss_ra=49.8577_dec=41.3264.png,PCC-4286,0,3.9675,1237661122388034416,GALAXY,49.8576687707759,41.3264543245452,18.7037,2.144676,2.347164,1.313124,1.878916,0.5657921,1.03404,4.908688
sdss_ra=49.8498_dec=41.6619.png,PCC-4214,0,1.06,1237661059574268593,GALAXY,49.8498526825439,41.6619129501498,19.84847,1.961037,1.354614,0.7040176,1.005388,0.3013706,0.6505966,3.840107
sdss_ra=49.4063_dec=41.4087.png,PCC-0945,0,42.12,1237661122387902713,GALAXY,49.4063063914731,41.4087583887265,19.09043,3.095861,2.373003,1.407616,2.092569,0.6849537,0.9653873,3.937987
sdss_ra=49.4158_dec=41.3219.png,PCC-0997,0,3.605,1237661083199144392,GALAXY,49.4157859263336,41.3218658826185,21.62369,1.363445,0.7966175,0.7394276,1.038317,0.2988892,0.05718994,1.333444
sdss_ra=49.9834_dec=41.4553.png,PCC-5257,0,5.9725,1237661059574400487,GALAXY,49.9833659082789,41.4552606660974,18.84386,1.55584,1.950048,1.016344,1.584887,0.5685425,0.9337044,3.567956
sdss_ra=49.8286_dec=41.2883.png,PCC-4039,0,0.1675,1237661122388034726,GALAXY,49.8286218118196,41.2883185540249,18.71819,1.465488,2.016907,1.121084,1.62361,0.5025253,0.8958225,3.608814
sdss_ra=49.7314_dec=41.5563.png,PCC-3286,0,17.815,1237661059574268421,GALAXY,49.7314180240477,41.5563730802358,20.72507,1.761169,0.1217155,0.4246445,0.5172386,0.09259415,-0.3029289,2.054769
sdss_ra=49.3893_dec=41.5721.png,PCC-0837,0,0.4225,1237661055281596077,GALAXY,49.3892567509159,41.5720951555635,19.4436,0.9744091,0.8735046,0.42313,0.786005,0.362875,0.4503746,2.348555
sdss_ra=49.7624_dec=41.308.png,PCC-3531,0,4.0975,1237661122388034281,GALAXY,49.7624524404048,41.3079791063088,18.29481,2.638159,1.97917,1.101284,1.640162,0.5388775,0.8778858,5.005571
sdss_ra=49.6743_dec=41.3287.png,PCC-2818,0,0.04,1237661122387969064,GALAXY,49.6743269906127,41.3286767228176,19.03402,3.501022,2.398468,1.42943,2.01235,0.5829201,0.969038,2.761945
sdss_ra=49.2516_dec=41.3224.png,PCC-0040,1,4.3075,1237661083199079144,GALAXY,49.2512998665366,41.3224446892217,19.89751,1.072577,1.629339,1.298235,1.215897,-0.08233833,0.3311043,2.969574
sdss_ra=49.2835_dec=41.3141.png,PCC-0219,1,3.31,1237661083199080461,GALAXY,49.283487410044,41.3140801197071,19.02796,1.495792,1.535952,0.8884296,1.2791,0.3906708,0.647522,6.487737
sdss_ra=49.2874_dec=41.4252.png,PCC-0246,1,3.59,1237661083199079544,GALAXY,49.2873677777939,41.4251866808067,18.88248,1.648746,1.365461,0.867794,1.225252,0.3574581,0.4976673,6.386487
sdss_ra=49.3008_dec=41.3811.png,PCC-0314,1,11.765,1237661083199079044,GALAXY,49.3008178765353,41.3811309686393,17.19889,1.979811,1.777552,0.9287243,1.418081,0.489357,0.8488274,4.434128
sdss_ra=49.3048_dec=41.3333.png,PCC-0349,1,12.4125,1237661083199079244,GALAXY,49.3047948951003,41.3333461324292,16.79855,1.915014,1.519541,0.8410358,1.304974,0.4639378,0.6785049,9.303005
sdss_ra=49.3063_dec=41.2975.png,PCC-0358,1,3.5275,1237661083199144143,GALAXY,49.3059792623185,41.2975007847977,21.54359,1.392225,1.32818,0.9180412,1.255295,0.3372536,0.4101391,1.03817
sdss_ra=49.3067_dec=41.4355.png,PCC-0360,1,0.7175,1237661083199078963,GALAXY,49.3067191820093,41.4355052201931,14.84952,1.899044,1.712949,0.9275637,1.3781,0.4505367,0.7853851,9.490194
sdss_ra=49.3237_dec=41.4215.png,PCC-0462,1,7.3625,1237661083199079603,GALAXY,49.3236841359998,41.4214466740835,15.46424,1.90966,1.748759,0.9255457,1.397933,0.4723873,0.8232136,9.336884
sdss_ra=49.3256_dec=41.4929.png,PCC-0469,1,1.3375,1237661055281659921,GALAXY,49.3255866473826,41.4929009463042,18.41572,1.662981,1.565184,0.9059849,1.287197,0.3812122,0.6591988,6.016972
sdss_ra=49.3476_dec=41.47.png,PCC-0602,1,13.6375,1237661122387837434,GALAXY,49.3476367817636,41.4700217158527,17.45461,1.977072,1.494795,0.8442421,1.284954,0.440712,0.6505527,6.135158
sdss_ra=49.3663_dec=41.3535.png,PCC-0708,1,9.7675,1237661083199145715,GALAXY,49.3662785364664,41.3534693634682,19.37865,1.450548,1.430326,0.7510071,1.186321,0.4353142,0.6793194,7.358596
sdss_ra=49.387_dec=41.297.png,PCC-0823,1,1.22,1237661083199144302,GALAXY,49.3869972146589,41.296989045752,14.76266,1.99568,1.744754,0.9391747,1.387076,0.4479017,0.8055792,10.14158
sdss_ra=49.4082_dec=41.3954.png,PCC-0958,1,10.75,1237661083199144015,STAR,49.4066631957501,41.3942287016579,24.80151,-0.5288734,6.705832,0.3291492,5.972246,5.643097,6.376682,2.969725
