#Table1
labels,true_labels,pred_labels,label_diffs,objID,ra,dec,r,r0,g_z0,u_g,g_z,g_r,g_i,r_i,r_z,distance
1,1,1,0,1237661059574268612,49.760046123573,41.5502349902431,14.87162,14.4973,1.376175,2.01246,1.710363,0.8994465,1.337598,0.4381514,0.8109169,8.6746518702885
1,1,1,0,1237661059574399672,50.0646761465794,41.398649050392,13.50894,13.1326,1.543639,2.111705,1.879623,1.020418,1.549163,0.5287447,0.8592052,8.67761500377584
1,1,1,0,1237661055281727478,49.7514991718268,41.4839673670302,20.47615,20.10299,0.9851806,1.206635,1.318325,0.6614532,0.9321175,0.2706642,0.6568718,8.94446166876531
0,0,0,0,1237661055818663589,50.0050437417868,41.65570964065,17.75774,17.37617,1.656012,1.867859,1.996674,1.106096,1.625664,0.5195675,0.8905773,8.94824024250116
1,1,1,0,1237661059574399387,50.1374704982234,41.5741245778116,14.72101,14.33985,1.492349,2.040944,1.832638,1.027043,1.527342,0.5002985,0.8055944,9.31659102745098
1,1,1,0,1237661059574334539,49.9573112317994,41.6690357516685,19.58217,19.19858,0.09269683,2.598799,0.4351616,0.936306,0.5239449,-0.4123611,-0.5011444,9.36825426555211
1,1,0,1,1237661055281725847,49.7421128001445,41.4701208499646,12.84564,12.46924,1.631058,2.18748,1.967099,1.070863,1.598623,0.5277605,0.8962364,9.54956383818195
1,1,1,0,1237661059574268534,49.8239777063448,41.6443501818367,14.10649,13.7129,1.500774,2.065474,1.852164,0.9937582,1.466589,0.4728308,0.8584061,9.61014903443944
1,1,1,0,1237661055281727532,49.7483205319838,41.4445199643402,19.11835,18.7411,1.161715,1.80975,1.498514,0.9131012,1.21216,0.2990589,0.585413,9.82112272696578
0,0,1,-1,1237661059574268593,49.8498526825439,41.6619129501498,19.84847,19.45562,1.003887,1.961037,1.354614,0.7040176,1.005388,0.3013706,0.6505966,9.93037071378302
0,0,0,0,1237661059574268421,49.7314180240477,41.5563730802358,20.72507,20.34506,-0.2175512,1.761169,0.1217155,0.4246445,0.5172386,0.09259415,-0.3029289,10.0115378564166
1,1,1,0,1237661055818662378,50.0919190508431,41.6409169263223,14.50608,14.12454,0.2737814,0.8519583,0.6144123,0.4240417,0.5109062,0.08686447,0.1903706,10.0646886541463
1,1,1,0,1237661059574270104,49.7333349873982,41.5787470740448,18.14951,17.76557,0.9862545,1.672335,1.329027,0.7896156,1.173399,0.3837833,0.5394115,10.3592807571323
0,0,0,0,1237661059574268417,49.7208706905827,41.5487594778721,17.2,16.81777,-2.985775,5.01543,-2.64452,0.9532852,1.554352,0.6010666,-3.597805,10.3665155569373
1,1,1,0,1237661059574399831,50.0873396454365,41.3737384235078,14.85967,14.47911,1.552936,2.097691,1.89269,1.018142,1.522794,0.504652,0.874548,10.4847361961436
1,1,1,0,1237661059574269233,49.7588315429406,41.6199281627887,15.59839,15.20789,1.446657,1.950802,1.79528,0.9678106,1.434759,0.4669485,0.8274698,10.5929310509257
0,0,0,0,1237661055281857482,50.0039643129297,41.3409569288291,17.69603,17.31619,1.801857,2.224802,2.140968,1.194695,1.712109,0.5174141,0.9462738,10.6450204723178
1,1,1,0,1237661055281726564,49.7076635211732,41.5066372950096,16.75766,16.37262,1.302232,2.077662,1.645988,0.8875771,1.35145,0.4638729,0.7584105,10.747021511215
0,0,0,0,1237661055281857479,50.0027325337613,41.3383687088605,18.87916,18.49929,1.678489,2.246117,2.017632,1.125536,1.634195,0.5086594,0.8920956,10.7826850682458
1,1,1,0,1237661122387968377,49.7403642050255,41.416037501189,19.01617,18.6345,0.2982498,3.878317,0.6389923,0.597702,1.05706,0.4593582,0.04129028,10.9536928476509
1,1,1,0,1237661055281856736,49.9573308279089,41.3297827329895,18.29996,17.92185,1.220146,2.309149,1.557718,0.8940697,1.378149,0.4840794,0.6636486,11.009430676796
0,0,0,0,1237661055281857785,49.9849660812263,41.3318583190389,19.01034,18.62991,1.692907,1.940145,2.032547,1.190847,1.700226,0.5093784,0.8416996,11.0099400644173
0,0,0,0,1237661059574400342,50.193912182851,41.5120604175913,17.53432,17.14137,0.7894427,1.172785,1.140261,0.569725,1.000267,0.430542,0.5705357,11.107071809029
1,1,1,0,1237661055281856613,49.9174877741773,41.3291991253375,14.62969,14.25272,1.54145,2.083092,1.878002,1.000623,1.489584,0.4889612,0.8773794,11.1120537276894
1,1,1,0,1237661055281856613,49.9174877741773,41.3291991253375,14.62969,14.25272,1.54145,2.083092,1.878002,1.000623,1.489584,0.4889612,0.8773794,11.1120537276894
1,1,1,0,1237661055281856927,50.072450372141,41.34893080365,15.09798,14.71671,1.511586,1.941353,1.851982,0.985074,1.459428,0.4743538,0.8669081,11.358959569913
0,0,0,0,1237661055818727765,50.1886404627776,41.5706873310953,17.64591,17.26407,0.4701643,1.287786,0.8110638,0.5137177,0.7179985,0.2042809,0.2973461,11.4012949060747
1,1,1,0,1237661059574268367,49.8124252837371,41.6777860645768,19.4901,19.09643,1.262507,1.716032,1.613972,0.9479618,1.256536,0.3085747,0.6660099,11.5731806935637
1,1,1,0,1237661059574268461,49.849493642492,41.692411543124,16.41424,16.02426,1.246762,1.75988,1.59492,0.8770046,1.29436,0.4173555,0.7179155,11.6090472725916
1,1,1,0,1237661055281726031,49.6867314009884,41.5114441292928,16.06735,15.67685,1.416461,2.040627,1.765086,0.9711704,1.472507,0.5013361,0.7939157,11.680502274532
0,0,0,0,1237661059574268297,49.7463378360688,41.6377218212072,19.57705,19.18306,2.660666,2.289989,3.012413,1.956308,2.577394,0.6210861,1.056105,11.6956648704179
1,1,1,0,1237661055281725866,49.6881724299768,41.4887639647977,14.22095,13.83129,0.9544546,1.873409,1.302334,0.6657572,1.070255,0.4044981,0.6365767,11.7087730815892
1,1,1,0,1237661122388033579,49.7970434369399,41.3531956433367,13.70568,13.32791,1.602805,2.093848,1.940073,1.026119,1.550663,0.5245438,0.9139538,11.720537302435
1,1,1,0,1237661059574268293,49.7414833647509,41.6350645496723,15.53891,15.14493,1.456656,2.038477,1.808393,0.9768429,1.450929,0.4740858,0.8315496,11.7643436471971
1,1,1,0,1237661059574268293,49.7414833647509,41.6350645496723,15.53891,15.14493,1.456656,2.038477,1.808393,0.9768429,1.450929,0.4740858,0.8315496,11.7643436471971
0,0,0,0,1237661055818662544,50.1240046283114,41.6598757568739,16.47651,16.09417,0.9534805,1.750038,1.294831,0.794096,1.11878,0.3246841,0.5007353,11.8687886553763
0,0,0,0,1237661122388034416,49.8576687707759,41.3264543245452,18.7037,18.32653,2.010435,2.144676,2.347164,1.313124,1.878916,0.5657921,1.03404,11.8936119887369
0,0,0,0,1237661055281858011,49.9563931434652,41.3138262763393,20.17738,19.7988,1.111731,1.063026,1.449718,0.5254669,1.044588,0.5191212,0.9242516,11.9643763246799
0,0,0,0,1237661059574268296,49.7345627927002,41.6346210834124,17.83581,17.44149,1.013273,1.472054,1.365313,0.7534256,1.17605,0.4226246,0.611887,11.9929526172397
1,1,0,1,1237661055281725850,49.6862761715124,41.4674857522114,12.98249,12.5936,1.972604,2.095016,2.319798,1.742271,2.277477,0.5352058,0.5775261,12.0202236436249
1,1,1,0,1237670960021505627,49.9316990153032,41.7131333405431,22.06069,21.67854,0.2846836,1.463562,0.6258564,0.6905518,1.28228,0.5917282,-0.06469536,12.0208502925287
0,0,0,0,1237661122387968977,49.7704513530806,41.3614608748543,18.24847,17.86689,1.656437,2.044001,1.997107,1.112215,1.618685,0.5064697,0.8848915,12.0677247672836
1,1,1,0,1237661059574270044,49.7925606412325,41.6781333747249,18.03463,17.64136,1.267523,2.013845,1.618624,0.8970051,1.288677,0.3916721,0.7216187,12.0783193151088
1,1,1,0,1237661059574464562,50.1757659807148,41.4039750851123,14.68031,14.2935,1.472152,1.963584,1.817485,1.07499,1.581636,0.5066462,0.7424946,12.2050697699906
1,1,1,0,1237661055281726251,49.6974774994161,41.428373591989,14.91461,14.52694,1.455597,1.982896,1.801706,0.9392157,1.444457,0.5052414,0.8624907,12.3037598535452
0,0,0,0,1237670458048446775,49.8839020898115,41.7174905840822,19.11043,18.72615,1.58693,2.124285,1.930006,1.064421,1.621397,0.5569763,0.8655853,12.5828045366302
1,1,1,0,1237661059574268241,49.6928779643566,41.602876029848,20.61333,20.21826,1.293944,1.12981,1.64666,0.8469467,1.229801,0.3828545,0.7997131,12.6047885265906
0,0,0,0,1237661059574269120,49.6732849511774,41.5693368326331,18.32337,17.92836,2.435409,1.881937,2.788069,1.166231,2.194372,1.028141,1.621838,12.7338979875779
1,1,1,0,1237661055281726775,49.7128793782692,41.3923537508308,15.7914,15.40345,1.365721,1.820311,1.712078,0.921133,1.378018,0.4568853,0.7909451,12.769127015643
0,0,0,0,1237661055281856551,49.8831911264325,41.3042338061537,16.58471,16.20715,1.482758,1.719509,1.819835,0.9899998,1.478827,0.4888268,0.8298349,12.853719737192
0,0,0,0,1237661055281856551,49.8831911264325,41.3042338061537,16.58471,16.20715,1.482758,1.719509,1.819835,0.9899998,1.478827,0.4888268,0.8298349,12.853719737192
1,1,1,0,1237661055818727654,50.2112693947652,41.6004244597273,13.8103,13.43711,1.560837,2.131902,1.894016,1.012523,1.534528,0.5220051,0.8814936,12.9828122772071
1,1,1,0,1237661059574268182,49.7120406913765,41.6398115805485,17.25065,16.85462,1.314251,1.975563,1.667816,0.8651867,1.317625,0.4524384,0.8026295,12.9897828630235
1,1,1,0,1237661122387969351,49.7398409832031,41.3590181249971,18.53631,18.15029,0.9253706,1.241117,1.269999,0.8505955,1.213339,0.3627434,0.4194031,13.1167350493771
1,1,1,0,1237661055281726935,49.6925197754117,41.4049068024513,18.0261,17.63621,1.194763,1.687134,1.54285,0.869976,1.255728,0.3857517,0.6728745,13.1442761535803
1,1,1,0,1237661059574399996,50.2408881196432,41.506345029876,14.10621,13.70946,1.698385,2.205724,2.052597,1.106907,1.652067,0.5451603,0.9456902,13.2242534772667
1,1,1,0,1237661059574269762,49.7894371571723,41.7046819943938,18.14489,17.75537,1.145919,1.403421,1.493675,0.8199158,1.214624,0.3947086,0.6737595,13.4872957945273
1,1,1,0,1237661055281726517,49.6429953996031,41.4925854850353,18.04581,17.64715,0.4296076,2.25651,0.7855282,1.034538,1.356251,0.3217125,-0.2490101,13.7024670869684
1,1,1,0,1237661059574269925,49.6869535877601,41.6338296886737,18.28841,17.89165,1.220529,1.741289,1.574745,0.8718948,1.255133,0.3832378,0.7028503,13.7261009543785
1,1,1,0,1237661059574464709,50.235725066588,41.4388504401502,17.22679,16.83444,1.566734,1.579163,1.917015,1.254539,1.728994,0.4744549,0.6624756,13.7353679850041
1,1,1,0,1237670458048448215,49.8714770199501,41.7360984777434,19.13093,18.74817,0.9721736,1.777065,1.313896,0.7153397,1.107862,0.3925228,0.5985565,13.798713538343
1,1,1,0,1237661055281726151,49.6672674086103,41.4173276759573,18.28685,17.89386,1.19067,1.964485,1.541523,0.8354912,1.282984,0.4474926,0.7060318,13.8154528237529
0,0,0,0,1237661055281725901,49.6469147464602,41.450467645262,19.41575,19.02054,2.351749,2.752846,2.704584,1.761635,2.407093,0.6454582,0.9429493,13.9895213735056
1,1,1,0,1237661055818727967,50.2517165750559,41.562463684849,14.17586,13.79649,1.605595,2.121452,1.944288,1.009282,1.528355,0.5190725,0.9350061,14.0151615290977
1,1,1,0,1237661055281856814,49.9356066702234,41.2780792750039,14.07128,13.70249,1.440444,2.199902,1.769689,0.9771042,1.514219,0.5371151,0.7925844,14.1100806235427
1,1,1,0,1237661059574269490,49.7334389760379,41.6862022451275,17.8745,17.48177,1.062499,1.693007,1.413122,0.7867985,1.169857,0.3830585,0.6263237,14.1219707476426
1,1,1,0,1237661059574268125,49.6693806363888,41.6242963115361,19.93211,19.53436,0.7231218,2.264778,1.078224,0.619339,-0.05332375,-0.6726627,0.4588852,14.1238851224693
1,1,1,0,1237670458048446875,49.8825134786365,41.7445322615188,19.29449,18.91187,-0.8764884,3.955753,-0.5348988,0.6856937,1.386385,0.7006912,-1.220592,14.1811729417727
1,1,1,0,1237661055281856671,49.9145238700455,41.2778749314693,20.32944,19.95751,2.517375,1.045465,2.84943,1.828079,2.563782,0.7357025,1.021351,14.1876139628229
1,1,1,0,1237670960021504409,49.994725223964,41.7500341325467,17.53399,17.14529,1.229367,6.157221,1.576391,0.8715591,1.323565,0.4520054,0.7048321,14.3782674648774
1,1,1,0,1237661055281857617,50.0552790374181,41.2868743261062,15.66404,15.28869,1.01742,1.68858,1.352522,0.7417221,1.10307,0.3613482,0.6107998,14.4264175834103
1,1,1,0,1237661059574464751,50.2054820731759,41.3706843348946,13.95962,13.5749,1.574636,2.077209,1.918101,1.057751,1.591048,0.5332975,0.8603506,14.4392334532375
0,0,0,0,1237661122388034726,49.8286218118196,41.2883185540249,18.71819,18.3342,1.674083,1.465488,2.016907,1.121084,1.62361,0.5025253,0.8958225,14.4961103199846
1,1,1,0,1237661055281856829,49.9449358444632,41.270382598523,15.32725,14.96267,1.284346,4.177626,1.609835,0.8699551,1.393244,0.5232887,0.7398796,14.563260584782
1,1,1,0,1237661059574268044,49.7427700516971,41.7023783448801,14.07023,13.67928,1.490713,2.047229,1.839748,0.9645224,1.444725,0.4802027,0.875226,14.5833825459599
1,1,1,0,1237661122388034195,49.745417106714,41.3208726695328,17.17602,16.78216,1.166084,1.561756,1.517712,0.7957783,1.213324,0.4175453,0.7219334,14.6645296808168
1,1,1,0,1237661059574465600,50.2558101939355,41.4344626658023,16.11798,15.72707,1.442378,1.9737,1.791376,0.9422817,1.414671,0.4723892,0.8490944,14.675360983057
0,0,0,0,1237661059574269035,49.7701555813497,41.7192215795183,17.38575,16.99793,1.960007,2.524347,2.306242,1.378201,1.951666,0.5734653,0.9280415,14.6854796647757
0,0,0,0,1237661122388034281,49.7624524404048,41.3079791063088,18.29481,17.9018,1.628297,2.638159,1.97917,1.101284,1.640162,0.5388775,0.8778858,14.8394502940143
0,0,0,0,1237661055818663393,50.1775974531424,41.6947119969866,17.83062,17.44683,1.665349,2.16037,2.007986,1.113808,1.621389,0.5075817,0.8941784,15.0350346682576
0,0,0,0,1237661055281726881,49.6184376585242,41.4545545050076,18.95229,18.55267,2.232576,1.717859,2.589348,1.56773,2.206661,0.6389313,1.021618,15.167288202377
1,1,1,0,1237661055281857832,49.9670041779905,41.2598346269331,18.7198,18.35837,1.122662,1.974316,1.445345,0.8673744,1.316496,0.4491215,0.5779705,15.2233857400995
0,0,0,0,1237661055281726882,49.6163873223784,41.455144945753,18.97246,18.57246,2.105195,2.406187,2.462307,1.480692,2.068567,0.5878754,0.9816151,15.2487735632417
0,0,0,0,1237661122388033648,49.7545019001842,41.3027402903354,19.19832,18.80168,1.071927,1.401993,1.426046,0.7333641,1.208174,0.4748096,0.6926823,15.3007083895368
1,1,1,0,1237661055281662281,49.6077697651511,41.5452771087227,19.56975,19.16067,1.226443,1.711477,1.59166,0.8646336,1.354855,0.490221,0.727026,15.345676919199
1,1,1,0,1237661055281727193,49.6047846556372,41.5211782817442,18.81112,18.40341,1.233594,2.468927,1.597589,0.9009151,1.250193,0.3492775,0.6966743,15.3683353839834
1,1,1,0,1237661059574464845,50.2592785121609,41.4094752214626,14.42319,14.03581,1.573547,2.128593,1.919393,1.001338,1.521634,0.5202961,0.9180546,15.3686469546152
0,0,0,0,1237661055281660877,49.6027522080411,41.5367374698063,18.24393,17.83437,2.20727,3.259443,2.572918,1.452351,2.107887,0.6555367,1.120567,15.5150983831437
1,1,1,0,1237661055281857496,49.938645620845,41.2544449556091,18.40745,18.0477,0.4523574,1.083651,0.7735271,0.3703327,0.7168903,0.3465576,0.4031944,15.523537832028
1,1,1,0,1237670458048448193,49.8177954835046,41.7537212268755,20.8593,20.47268,0.213821,2.90374,0.5589943,0.5310059,1.029922,0.4989166,0.02798843,15.5515572506415
1,1,1,0,1237661055281858136,49.8584298014414,41.2620858904832,19.49379,19.11655,1.130509,2.090132,1.467293,0.8999634,1.313917,0.4139538,0.5673294,15.5761920935396
0,0,0,0,1237661055818662301,50.1366005911547,41.7320222485647,17.6609,17.26142,0.7197602,1.273672,1.076412,0.6072483,0.8735256,0.2662773,0.4691639,15.6551524036026
0,0,0,0,1237661059574203352,49.7092018264066,41.7048143497305,18.25375,17.86458,2.148909,1.626558,2.496347,1.33399,1.989773,0.6557827,1.162357,15.6791283892222
1,1,1,0,1237661059574203221,49.6621494298188,41.6689425891096,14.99284,14.60015,1.490946,2.126797,1.841526,0.9684992,1.45735,0.4888506,0.8730268,15.8265189447526
1,1,1,0,1237661122387969384,49.7227292680284,41.309428215373,19.57966,19.17709,0.7103754,5.009499,1.06978,1.080236,1.317602,0.2373657,-0.01045609,15.8401454215147
0,0,0,0,1237661055281856711,49.8805021876482,41.2520151603596,17.72289,17.35348,1.352062,2.571918,1.681871,0.7098618,1.490984,0.7811222,0.9720097,15.9460419062519
1,1,1,0,1237661055281856813,50.006822919519,41.2511539904146,13.19592,12.83356,1.56301,2.186331,1.886522,0.9879456,1.512414,0.5244684,0.8985767,15.9481226370219
0,0,0,0,1237661122387969061,49.6744409144411,41.3394635152311,17.70543,17.30466,2.199106,3.156122,2.556904,1.460838,2.121273,0.6604347,1.096066,16.0799352201589
1,1,1,0,1237661055818531720,49.7994161668261,41.7588113686016,19.43202,19.04339,1.136299,2.172552,1.483259,0.8736267,1.192476,0.3188496,0.6096325,16.1544913301369
0,0,0,0,1237661122388034859,49.7259355774926,41.2954127299369,19.48101,19.074,0.8641343,1.258745,1.227507,0.6550999,0.8633614,0.2082615,0.5724068,16.4104853034087
0,0,0,0,1237661059574204815,49.7117955318649,41.7236199072246,19.05034,18.66325,1.666786,0.9824352,2.012373,1.204248,1.620054,0.4158058,0.8081245,16.4489497903284
0,0,0,0,1237661122387969064,49.6743269906127,41.3286767228176,19.03402,18.6304,2.038117,3.501022,2.398468,1.42943,2.01235,0.5829201,0.969038,16.511181979784
0,0,1,-1,1237661055281856842,50.0437796548105,41.2456151039519,17.1322,16.76999,1.313276,1.610315,1.636646,0.8405857,1.332909,0.4923229,0.7960606,16.6335685580782
1,1,1,0,1237661055281725581,49.5788652894655,41.4693671588608,15.03359,14.62902,1.516715,2.048453,1.877904,0.9564342,1.492163,0.5357285,0.9214697,16.738685375394
1,1,1,0,1237661055281725477,49.5741266370053,41.503106046199,17.02637,16.61703,1.306787,1.839634,1.672237,0.8943977,1.33713,0.4427319,0.7778397,16.7510850823932
0,0,0,0,1237661055281726387,49.575514197229,41.4865655944704,17.51773,17.11091,0.310374,0.9309406,0.6735687,0.346611,0.552084,0.2054729,0.3269577,16.7559400006721
0,0,0,0,1237661122387968404,49.6768962382152,41.3202550249105,23.41172,23.00559,0.566596,1.138586,0.929184,-2.633751,0.9379463,3.571697,3.562935,16.7707022808187
0,0,0,0,1237661055281856999,49.9156143488672,41.2329477624084,15.8727,15.51889,0.897733,1.877981,1.213608,0.804019,1.068621,0.2646017,0.4095888,16.8673050379038
1,1,1,0,1237661055818663051,50.1336678595388,41.7584707117627,14.89469,14.48716,1.512695,2.018023,1.876528,0.9848356,1.503143,0.5183077,0.8916922,16.9422204753339
1,1,0,1,1237661055281725940,49.5937534686477,41.4097756365822,13.57921,13.18311,1.629182,2.013068,1.982812,0.9969893,1.531616,0.534627,0.9858227,17.0378141295213
0,0,0,0,1237661055281725606,49.5705009821743,41.459046242828,20.76944,20.36678,2.087193,1.918211,2.446674,1.409834,2.185797,0.7759628,1.03684,17.2172276074833
1,1,1,0,1237661055818662522,50.1916426157601,41.7349372590753,15.00019,14.59949,1.457924,2.005819,1.815657,0.9611349,1.451322,0.4901867,0.8545218,17.2584248410254
0,0,0,0,1237661059574203833,49.7029025682171,41.7358997385276,19.18205,18.79496,1.928864,2.072138,2.27445,1.360561,1.854372,0.4938107,0.9138889,17.2703843733385
1,1,1,0,1237661122388034714,49.7816617473742,41.2523432383874,17.61248,17.20888,1.23667,1.616028,1.597,0.9103165,1.34573,0.4354134,0.6866837,17.3199379123979
0,0,0,0,1237661055281857745,49.8545744718202,41.2311616626046,17.52987,17.16086,0.9800143,1.296873,1.309456,0.7080746,1.115786,0.407711,0.6013813,17.4174434030169
0,0,0,0,1237661055281660810,49.5591119542989,41.50269492049,18.12185,17.71358,1.750203,1.647087,2.114698,1.089037,1.696108,0.6070709,1.025661,17.4262248694822
1,1,0,1,1237661059574203163,49.5991356561728,41.6442292448913,17.16156,16.76392,1.335902,2.011759,1.690905,0.9267921,1.442799,0.5160065,0.7641125,17.4713877083104
1,1,1,0,1237661055281660539,49.5678204673379,41.5799326405555,21.50932,21.09804,1.073927,0.6016788,1.441107,0.8161964,1.104027,0.2878304,0.6249104,17.4797579846808
0,0,0,0,1237661055818793141,50.3361938102496,41.4958685640523,19.22542,18.83419,-5.146647,2.329906,-4.797365,-1.195768,-6.332022,-5.136253,-3.601597,17.5321012328576
0,0,0,0,1237661055281662248,49.5539323075861,41.5020127253609,19.56563,19.15787,1.529318,5.081095,1.89336,1.196552,1.632895,0.4363422,0.6968079,17.6603953835134
0,0,0,0,1237661055281727022,49.5876855617244,41.3917032223751,19.47024,19.07675,1.094258,1.483286,1.445553,0.7456207,1.08357,0.3379498,0.6999321,17.711984470599
